CUSTOMER CODE,CUSTOMER NAME,ADDRESS 1,ADDRESS 2,TRANSACTION TYPE,ITEM CODE,ITEM DIMENSION,ITEM UNIT OF MEASURE,COMPANY CODE,COMPANY DIMENSION,LOT NUMBER,EXPIRATION DATE,SEGMENT CODE,SEGMENT NAME,PRINCIPAL CODE,PRINCIPAL DIMENSION,QUANTITY SOLD,QUANTITY FREE,UNIT PRICE,GROSS SALES AMOUNT,DISCOUNT AMOUNT,VALUE ADDED TAX AMOUNT,VAT EXCLUSIVE,SALES TAX,NET OF SALES TAX,MDI DISTRIBUTION FEE,BILLING NET SALES,BILLING VAT AMOUNT,BILL GROSS SALES,GB DISTRIBUTION FEE,METRO DRUG CYCLE DATE,Sales Week Number,PERIOD FROM DATE,PERIOD TO DATE,BATCH NUMBER,Batch Date
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-13701,Hi-Smart Teens Capsule,30's,HHI     ,"HEALTH HARMONY, INC.",'12F01          ,06/30/2014,'027,HEALTH HARMONY,PC-0055,SAN MARINO LABORATORIES CORP.,-600,0,375.00,"-225,000.00","75,000.00","24,107.14","200,892.86",360.96,"200,531.90","15,541.22","185,351.63","22,242.20","207,593.83",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-11216,Iopamiro 300 mg x 50 ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'C2P367F        ,11/30/2015,'014,HOSPITAL,PC-0003,BRACCO IMAGING SPA,-30,0,"1,400.00","-42,000.00","22,260.00","4,500.00","37,500.00",67.38,"37,432.62","2,901.03","34,598.97","4,151.88","38,750.85",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-13926,Rabipur Powder 1Ml Vial 2.5Iu/M,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'2477           ,04/30/2016,'002,BIOLOGICA,PC-0005,"NOVARTIS HEALTHCARE PHILIPPINES, INC",-30,0,"1,520.00","-45,600.00","9,900.00","4,885.71","40,714.29",73.15,"40,641.13","3,149.69","37,564.60","4,507.75","42,072.35",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16212,Rowatinex Caps.,100's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'7223C          ,11/30/2016,'003,BIOMEDICA,PC-0018,ROWA PHARMACEUTICALS LIMITED,-30,0,"1,696.00","-50,880.00","12,720.00","5,451.43","45,428.57",81.62,"45,346.95","3,514.39","41,914.18","5,029.70","46,943.89",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16701,Equirab Soln. for Injection 1000 I.U/ 5ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'A6813008       ,05/31/2015,'002,BIOLOGICA,PC-0072,"BHARAT SERUMS AND VACCINES, LIMITED",-30,0,"1,000.00","-30,000.00","6,000.00","3,214.29","26,785.71",48.13,"26,737.59","2,072.16","24,713.55","2,965.63","27,679.18",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16103,Isoprinosine Syrup 250 mg/5ml 60 ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'13260          ,08/31/2016,'004,MEDIPHARMA,PC-0014,SWISS PHARMA RESEARCH LABORATORIES,-24,0,185.00,"-4,440.00",0.00,475.71,"3,964.29",7.12,"3,957.16",306.68,"3,657.61",438.91,"4,096.52",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16209,Rowagel 2% 5 g Tube,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'7277           ,01/31/2015,'017,DERMATOLOGICALS,PC-0118,ROWA PHARMACEUTICALS LIMITED,-24,0,372.00,"-8,928.00","2,232.00",956.57,"7,971.43",14.32,"7,957.11",616.68,"7,354.75",882.57,"8,237.32",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16211,Rowachol Caps.,100's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'7168C          ,06/30/2016,'026,GASTRO OB,PC-0218,ROWA PHARMACEUTICALS LIMITED,-20,0,"2,238.72","-44,774.40","11,193.60","4,797.26","39,977.14",71.83,"39,905.31","3,092.66","36,884.48","4,426.14","41,310.62",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16103,Isoprinosine Syrup 250 mg/5ml 60 ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'13260          ,08/31/2016,'004,MEDIPHARMA,PC-0014,SWISS PHARMA RESEARCH LABORATORIES,-12,0,185.00,"-2,220.00",0.00,237.86,"1,982.14",3.56,"1,978.58",153.34,"1,828.80",219.46,"2,048.26",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-11224,Iopamiro 370 mg x 100 ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'E3P551G        ,01/31/2015,'014,HOSPITAL,PC-0003,BRACCO IMAGING SPA,-10,0,"3,000.00","-30,000.00","11,530.00","3,214.29","26,785.71",48.13,"26,737.59","2,072.16","24,713.55","2,965.63","27,679.18",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16103,Isoprinosine Syrup 250 mg/5ml 60 ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'13260          ,08/31/2016,'004,MEDIPHARMA,PC-0014,SWISS PHARMA RESEARCH LABORATORIES,-10,0,185.00,"-1,850.00",0.00,198.21,"1,651.79",2.97,"1,648.82",127.78,"1,524.00",182.88,"1,706.88",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-13413,Lagundex Forte 600mg/5ml x 60ml Soothing Mint,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'803402         ,11/30/2013,'004,MEDIPHARMA,PC-0074,LA CROESUS PHARMA INC.,-6,0,83.33,-499.98,100.02,53.57,446.41,0.80,445.61,34.53,411.88,49.43,461.30,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
